		X                 	 Y 		              Z
-4.313898073087226E-03 -5.412307222034497E-03 1.550673306863203E-04
-4.306562974299887E-03 -5.413941146073136E-03 1.549330942187103E-04
-4.299226173334210E-03 -5.415565401048936E-03 1.547987062177211E-04
-4.291887665160393E-03 -5.417179947634273E-03 1.546641666183736E-04
-4.284547445752232E-03 -5.418784746156092E-03 1.545294754232179E-04
-4.277205512060439E-03 -5.420379756619783E-03 1.543946326997316E-04
-4.269861861984536E-03 -5.421964938728907E-03 1.542596385779553E-04
-4.262516494343342E-03 -5.423540251900563E-03 1.541244932483867E-04
-4.255169408844184E-03 -5.425105655276009E-03 1.539891969601740E-04
-4.247820606050941E-03 -5.426661107726179E-03 1.538537500196480E-04
-4.240470087351108E-03 -5.428206567851581E-03 1.537181527892533E-04
-4.233117854922194E-03 -5.429741993976014E-03 1.535824056869500E-04
-4.225763911697678E-03 -5.431267344133542E-03 1.534465091861480E-04
-4.218408261333177E-03 -5.432782576047839E-03 1.533104638163160E-04
-4.211050908173324E-03 -5.434287647103234E-03 1.531742701643497E-04
-4.203691857220203E-03 -5.435782514306512E-03 1.530379288768614E-04
-4.196331114104415E-03 -5.437267134238493E-03 1.529014406635698E-04
-4.188968685060111E-03 -5.438741462994358E-03 1.527648063019815E-04
-4.181604576905665E-03 -5.440205456111734E-03 1.526280266436148E-04
-4.174238797032094E-03 -5.441659068485512E-03 1.524911026220284E-04
-4.166871353401858E-03 -5.443102254268478E-03 1.523540352629745E-04
-4.159502254561238E-03 -5.444534966757049E-03 1.522168256970258E-04
-4.152131509670186E-03 -5.445957158261723E-03 1.520794751750657E-04
-4.144759128554268E-03 -5.447368779962427E-03 1.519419850870416E-04
